Country,Rating-Per-Count
UGA,7.0
GAB,6.5
LTU,5.105284906195894
GTM,5.084939041366406
MUS,5.000206608860988
VNM,4.388545524691358
BGD,4.25
GNB,4.0
AND,3.83602304125945
BRN,3.6458333333333335
